setting,seed,rep_index,model,n,p,sigma_a,sigma_e,beta_preset,alpha,k,true_k,lam,snr,algo_a,algo_b,mse_cocolasso_max,mse_reweighted_frobenius,pe_cocolasso_max,pe_reweighted_frobenius,time_cocolasso_max,time_reweighted_frobenius,mse_diff,pe_diff,time_diff,speedup,noise_level,sparsity
ar_sigma0.75_datta_zhang,44,44,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,4.217216794586758,4.235041857466164,3.7989825952809264,3.893893631837858,15.48651952308137,1.7258413750096224,-0.017825062879405884,-0.09491103655693145,13.760678148071747,8.973315709849073,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,45,45,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,4.995858013316614,5.12292459712373,6.1565913571232,6.318168976241118,15.43682041298598,1.6598168210475706,-0.12706658380711655,-0.16157761911791813,13.77700359193841,9.300315683777228,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,46,46,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,1.3842643417785716,1.4378294876571918,1.693347612957438,1.810080697756373,15.469462509965524,1.7950666170218028,-0.05356514587862016,-0.11673308479893496,13.674395892943721,8.617765136555727,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,47,47,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,7.195333037091938,7.067121814974599,7.962568696306048,7.840692388483595,15.422686657053418,1.718292452977039,0.12821122211733904,0.12187630782245229,13.70439420407638,8.975588893690793,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,48,48,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,4.18966503175137,4.325504755512402,5.2989611657966105,5.504156703361394,15.517738125054166,1.9287307849735955,-0.13583972376103226,-0.2051955375647836,13.58900734008057,8.045569784000003,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,49,49,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,5.447943419556991,5.50046429117587,5.4270633613505215,5.492682966475917,15.540183877921663,1.534988050989341,-0.05252087161887875,-0.06561960512539589,14.005195826932322,10.123977100607133,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,50,50,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,5.011009972616377,5.146017751619096,6.324875996075829,6.501452923751726,15.562699228990825,1.5693782049929723,-0.1350077790027191,-0.17657692767589683,13.993321023997852,9.916474677345551,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,51,51,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,4.8662453775015,4.912324176675798,5.84784550997481,5.9855705220475945,15.335185897070916,1.899707060016226,-0.04607879917429791,-0.1377250120727842,13.43547883705469,8.072395065447582,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,52,52,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,7.665851099009899,7.702436902064983,10.360816134746656,10.437246669718212,15.419538201997057,1.651925908983685,-0.0365858030550843,-0.07643053497155528,13.767612293013372,9.334279532841533,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,53,53,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,2.757339496477064,2.95900786530286,3.411208665847492,3.687783057503556,15.513494892977178,1.9336043130024336,-0.2016683688257963,-0.2765743916560641,13.579890579974744,8.023096963870731,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,54,54,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,3.7903449076833935,3.948990516292064,4.838171696679311,5.004166183579513,15.455553660984153,1.6879751170054078,-0.1586456086086705,-0.16599448690020235,13.767578543978745,9.156268658985592,low,datta_zhang (exactly 3-sparse)
