setting,seed,rep_index,model,n,p,sigma_a,sigma_e,beta_preset,alpha,k,true_k,lam,snr,algo_a,algo_b,mse_cocolasso_max,mse_reweighted_max,pe_cocolasso_max,pe_reweighted_max,time_cocolasso_max,time_reweighted_max,mse_diff,pe_diff,time_diff,speedup,noise_level,sparsity
ar_sigma0.75_datta_zhang,29,29,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,7.325090219224947,6.561301615931283,10.122674411073294,8.973707564014536,15.317664296017028,175.97376676090062,0.7637886032936638,1.1489668470587588,-160.6561024648836,0.08704515779803403,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,30,30,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,5.137375060089156,4.184941653890489,6.383332279961885,5.1248805820625005,15.391092962934636,224.1864622910507,0.9524334061986677,1.2584516978993845,-208.79536932811607,0.06865308817333093,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,31,31,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,2.8942698807780065,1.8633788342157092,3.290124963462204,1.975031910858604,15.316029348992744,222.1252790801227,1.0308910465622974,1.3150930526035998,-206.80924973112997,0.06895221206888437,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,32,32,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,7.936118454391154,7.356377782115357,9.741912876833386,8.686676829319712,15.311163455946373,206.2597043500282,0.579740672275797,1.0552360475136737,-190.94854089408182,0.0742324512885121,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,33,33,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,4.56193657516426,3.882399042984252,5.341138307365144,4.422159365341788,15.348629661020825,215.085921243066,0.6795375321800083,0.9189789420233563,-199.73729158204517,0.0713604571248321,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,34,34,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,4.157543335239779,3.2433301377620367,5.548005505581152,4.2750890808814805,15.3133397300262,233.7216663060244,0.9142131974777419,1.2729164246996714,-218.4083265759982,0.06551955568370635,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,35,35,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,3.8428370397243543,2.7299045242779867,4.888427510591216,3.388300936132452,15.331244923989289,233.84366429178044,1.1129325154463676,1.5001265744587635,-218.51241936779115,0.06556194272109761,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,36,36,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,7.838906789031618,7.831492872266819,7.093411809541788,6.33010017495624,15.343603692017496,197.36517827003263,0.007413916764799744,0.7633116345855484,-182.02157457801513,0.07774220268493647,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,37,37,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,4.779962346976921,3.4064383499930084,5.4981777332236685,3.634884652350786,15.326541604008526,233.6845274940133,1.3735239969839128,1.8632930808728827,-218.35798589000478,0.06558646294800656,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,38,38,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,4.090370041055562,3.2222531493081363,5.690579050165189,4.033492469616819,15.366473744041286,197.5242227341514,0.8681168917474253,1.6570865805483699,-182.15774899011012,0.0777953889975463,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,39,39,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,5.82224687065116,4.886050184464534,6.549362139644384,4.894817740998953,15.325331637985071,232.13850245112556,0.9361966861866255,1.6545443986454318,-216.8131708131405,0.0660180516207632,low,datta_zhang (exactly 3-sparse)
